/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
13.74966;1015.4331;314.7978384;3.6062801139999996;17;8.440299408;14.29596625
13.14395;1015.7256;319.2856456;3.7465714610000003;17;14.04826605;15.26434918
12.70547;1015.9306;323.5028402;4.040626163;17;14.29596625;14.98608258
12.43984;1016.2256;329.5588225;4.394193604;17;15.26434918;17.02428229
12.35317;1016.9425;333.6562964;4.661029575;17;14.98608258;15.38156555
11.99624;1017.15;328.13031589999997;4.631051835;17;17.02428229;11.67889972
11.42666;1016.6781;322.8827983;4.343634141;17;15.38156555;12.7946496
10.96133;1016.71;319.1891439;4.628598412;17;11.67889972;14.6878161
10.78945;1016.6744;321.7730739;4.959778776;17;12.7946496;19.7493324
11.0143;1017.0;321.45032660000004;5.46002534;17;14.6878161;29.58398218
