YVIK-YtreVikna1.-G1-T4015A3 -0104;RRS.S2502.Gunit.M1 G1.AVL;YVIK-YtreVikna1.-G2-T4015A3 -0104;RRS.S2502.Gunit.M2 G1.AVL;YVIK-YtreVikna1.-G3-T4015A3 -0104;RRS.S2502.Gunit.M3 G1.AVL;YVIK-YtreVikna1.-G4-T4015A3 -0104;RRS.S2502.Gunit.M4 G1.AVL;YVIK-YtreVikna1.-G5-T4015A3 -0104;RRS.S2502.Gunit.M5 G1.AVL;YVIK-YtreVikna1.-G6-T4015A3 -0104;RRS.S2502.Gunit.M6 G1.AVL;YVIK-YtreVikna1.-G7-T4015A3 -0104;RRS.S2502.Gunit.M7 G1.AVL;YVIK-YtreVikna1.-G8-T4015A3 -0104;RRS.S2502.Gunit.M8 G1.AVL;YVIK-YtreVikna1.-G9-T4015A3 -0104;RRS.S2502.Gunit.M9 G1.AVL;YVIK-YtreVikna1-G10-T4015A3 -0104;RRS.S2502.Gunit.M10 G1.AVL;YVIK-YtreVikna1-G11-T4015A3 -0104;RRS.S2502.Gunit.M11 G1.AVL;YVIK-YtreVikna1-G12-T4015A3 -0104;RRS.S2502.Gunit.M12 G1.AVL;YVIK-YtreVikna1-G13-T4015A3 -0104;RRS.S2502.Gunit.M13 G1.AVL;YVIK-YtreVikna1-G14-T4015A3 -0104;RRS.S2502.Gunit.M14 G1.AVL;YVIK-YtreVikna1-G15-T4015A3 -0104;RRS.S2502.Gunit.M15 G1.AVL;YVIK-YtreVikna1-G16-T4015A3 -0104;RRS.S2502.Gunit.M16 G1.AVL;YVIK-YtreVikna1-G17-T4015A3 -0104;RRS.S2502.Gunit.M17 G1.AVL;YVIK-YtreVikna1-Sum-produksjon;DNMI_75410...........T0015A3-0120;/arome_windvel_6481_1056;DNMI_75220...........T0015A3-0120;/arome_windvel_6482_1114;DNMI_75550...........T0015A3-0120;/arome_windvel_6520_1098;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;/arome_airtemp_6495_1081;/arome_airpress_6495_1081;/arome_winddir_6495_1081;/arome_windvel_6495_1081;/arome_airtemp_6495_1096;/arome_airpress_6495_1096;/arome_winddir_6495_1096;/arome_windvel_6495_1096;/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;/arome_airtemp_6486_1082;/arome_airpress_6486_1082;/arome_winddir_6486_1082;/arome_windvel_6486_1082;/arome_airtemp_6486_1093;/arome_airpress_6486_1093;/arome_winddir_6486_1093;/arome_windvel_6486_1093;Target
0.619916626;1;0.042;0;0.626216675;1;0.8343833009999999;1;0.705049927;1;0.716966675;1;0.690799927;1;0.969466675;1;0.0;1;0.529049927;1;0.626416626;1;0.6788833009999999;1;0.295049988;1;0.689716675;1;0.618849976;1;0.723049927;1;0.535766602;1;9.901582825;7.6;9.442490093;6.3;6.0719685629999995;10.0;9.801894398;8.1;330;11.95352;1010.73125;-28.32498959;5.963790702000001;11.36318;1010.19625;-28.86416377;7.0097547570000005;11.2123;1006.68625;-28.1392517;6.261847427999999;11.2167;1008.08625;-30.76311063;6.236692832;11.3539;1008.70125;-29.34164326;4.853882854;17.48493262
0.79243335;1;0.042;1;0.808849976;1;1.009666626;1;0.895533325;1;0.83293335;1;0.850299927;1;1.030133301;1;0.0;1;0.7904499509999999;1;0.7671999509999999;1;0.9633833009999999;1;0.485133301;1;0.828016602;1;0.8661500240000001;1;0.8721500240000001;1;0.712233276;1;12.54656628;10.5;9.104654617000001;5.9;5.955406633;7.7;9.633880203;7.9;331;11.167869999999999;1010.7356;-30.70755271;5.772543372;10.61807;1010.2356;-32.36987794;6.987976027;10.72354;1006.7056;-29.81420944;6.124335749;11.32363;1008.0606;-28.34410415;6.433130881;11.11758;1008.7006;-28.07465563;5.14411118;15.91529895
1.13225;1;0.042;1;1.06275;1;1.337083252;1;1.075116699;1;1.045333252;1;1.5044165040000002;1;1.4992165530000001;1;0.0;1;0.812083252;1;1.25375;1;1.162983154;1;0.827016602;1;1.02068335;1;1.26593335;1;1.374866699;1;1.069449951;1;17.48493262;12.9;9.288565066;6.6;5.962925015;11.6;10.32807706;7.6;331;11.90322;1011.36;-35.45910174;5.219505637;10.9247;1010.845;-34.6500973;6.302926575;11.2123;1007.325;-35.34315969;5.552609415;11.76602;1008.7;-34.62974262;5.721026075;11.3495;1009.365;-33.99146235;4.4745453269999995;13.75148273
1.2098332520000001;1;0.042;1;1.039399902;1;1.219233154;1;1.059449951;1;1.042983154;1;1.2392331540000001;1;1.3889499509999998;1;0.0;1;0.710099976;1;1.095550049;1;1.177300049;1;0.645699951;1;0.960233276;1;0.987766602;1;1.180333252;1;0.9172332759999999;1;15.91529895;11.5;9.821565882;5.3;6.4423099960000005;11.2;10.26526855;7.2;330;11.15322;1011.3625;-32.33749437;4.971185801;10.72354;1010.8525;-31.59546677;6.100611462000001;10.650780000000001;1007.3225;-33.06142762;5.239476024;11.03408;1008.7025;-35.00609918;5.433709802;10.8334;1009.3825;-33.738171200000004;4.116083754;17.33939905
1.008916626;1;0.042;1;0.897166626;1;1.044899902;1;0.882466675;1;0.97381665;1;1.075833252;1;1.223899902;1;0.0;1;0.975616577;1;0.8936333009999999;1;0.8540000000000001;1;0.40239996299999997;1;0.79568335;1;0.866049927;1;0.950633301;1;0.864466675;1;13.75148273;9.1;8.760828351;6.1;5.0509233369999995;11.2;9.866840958;6.9;330;10.693019999999999;1011.5025;-34.853075200000006;4.651517442;10.57876;1010.9675;-35.88751920000001;5.771652544;10.18667;1007.4775;-36.40863744;4.880044198999999;10.0768;1008.9075;-36.70874392;4.871018627;10.341460000000001;1009.5425;-35.79466624;3.680827209;12.19809949
0.999333252;1;0.042;1;1.135133301;1;1.406283203;1;1.072633301;1;1.183050049;1;1.5034665530000002;1;1.595783203;1;0.387533325;1;1.278899902;1;0.946449951;1;1.0878498540000001;1;0.523283325;1;0.699833252;1;1.22018335;1;1.252449951;1;1.005233276;1;17.33939905;7.7;8.480363717000001;5.6;4.26113752;10.8;9.02708528;6.6;333;11.00308;1011.43375;-28.53119974;4.868159792;10.629539999999999;1010.92875;-29.22027721;5.811380207999999;10.580219999999999;1007.39375;-29.50306524;5.073514291;10.48452;1008.76875;-30.46390377;4.66908857;10.47964;1009.44875;-32.49045447;3.339726408;10.9598996
0.7660999759999999;1;0.042;1;0.735116577;1;1.02793335;1;0.8199166259999999;1;0.8852666020000001;1;0.865833252;1;0.868466675;1;0.8401999509999999;1;0.7313665770000001;1;0.673150024;1;0.784533325;1;0.40456665;1;0.475216675;1;0.730099976;1;0.8275999759999999;1;0.7207332759999999;1;12.19809949;7.0;7.651715812999999;5.0;4.142982589;9.7;8.783627707;6.4;335;11.16958;1011.42;-28.41355012;4.854855491;10.92446;1010.905;-26.91752572;5.933353137999999;10.728660000000001;1007.39;-28.16768104;5.154380249;10.83804;1008.76;-29.06476347;5.267869777;10.642719999999999;1009.435;-27.72658745;3.6103499269999997;12.64984949
0.616866577;1;0.042;1;0.6859499509999999;1;0.8325999759999999;1;0.76406665;1;0.717616577;1;0.8104832759999999;1;0.871650024;1;0.74768335;1;0.741666626;1;0.494383301;1;0.636900024;1;0.356933289;1;0.599733276;1;0.559466675;1;0.7549000240000001;1;0.727;1;10.9598996;8.2;8.200909966000001;5.0;3.340785791;9.4;8.903801539;6.4;333;10.99722;1011.4331;-25.07870604;4.5771696010000005;10.6891;1010.9281;-25.01942519;5.607920705;10.4943;1007.3881;-25.45882765;4.713205038;10.67056;1008.7381;-25.65002557;4.686065145;10.5441;1009.4281;-25.9442684;3.339655498;10.35978271
0.85743335;1;0.042;1;0.753516602;1;0.790416626;1;0.622216675;1;0.858099976;1;0.90906665;1;1.03731665;1;0.8407999270000001;1;0.68443335;1;0.8002332759999999;1;0.967699951;1;0.411533325;1;0.653333252;1;0.80443335;1;0.842766602;1;0.774549927;1;12.64984949;10.6;8.532823567000001;4.5;3.5300146710000004;8.9;8.533305896;6.4;333;10.5143;1011.4725;-24.36631852;4.069719146000001;10.23452;1010.9725;-23.83720257;5.088545943;9.818999999999999;1007.4225;-25.11111969;4.0623531989999995;9.818999999999999;1008.7775;-25.17023161;3.7859340539999997;9.94985;1009.4675;-26.09213865;2.8050994960000004;10.12634943
0.656666626;1;0.042;1;0.625799927;1;0.74;1;0.594199951;1;0.66093335;1;0.84231665;1;0.8709832759999999;1;0.7638833009999999;1;0.541733276;1;0.65106665;1;0.6864832759999999;1;0.22581665;1;0.599616577;1;0.615833252;1;0.658733276;1;0.583716675;1;10.35978271;10.3;8.332642713;4.2;3.187724933;7.4;7.638141802000001;6.3;333;10.2311;1011.1931;-25.126477100000002;4.466507453999999;10.1725;1010.6731;-26.22514192;5.944852374;9.6188;1007.1481;-26.20050671;4.479165672;9.5602;1008.5081;-25.26194122;4.066541524;9.63687;1009.1831;-28.25334648;2.746004257;10.48078302
