STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
5.2;82;5.755516357;6.470866425
5.3;81;11.66089948;11.93103271
6.1;89;6.470866425;22.89816602
7.0;97;11.93103271;27.87986597
7.8;105;22.89816602;30.81981519
8.1;108;27.87986597;32.74318213
8.3;112;30.81981519;31.88121509
8.6;115;32.74318213;34.98253101
8.6;117;31.88121509;29.39178247
8.5;118;34.98253101;32.64409839
8.5;120;29.39178247;32.81089893
8.7;120;32.64409839;30.21924902
8.9;121;32.81089893;30.76671558
9.1;121;30.21924902;31.64061499
8.8;121;30.76671558;32.521597899999996
8.4;122;31.64061499;33.43333203
8.1;122;32.521597899999996;30.45128247
8.4;123;33.43333203;30.19859863
8.8;125;30.45128247;31.626298100000003
9.1;126;30.19859863;27.65324902
9.2;126;31.626298100000003;32.14461548
9.4;127;27.65324902;33.93029834
9.5;127;32.14461548;33.74091479
9.4;127;33.93029834;33.20316553
9.2;128;33.74091479;27.02589929
9.2;128;33.20316553;26.63793237
9.2;129;27.02589929;29.42489868
9.2;131;26.63793237;32.27053223
9.2;132;29.42489868;34.76546509
9.1;138;32.27053223;32.27286621
8.9;143;34.76546509;32.02118213
8.8;149;32.27286621;29.44533185
8.4;143;32.02118213;30.09321533
7.9;138;29.44533185;30.28663208
7.5;132;30.09321533;28.45456555
7.3;134;30.28663208;26.09373218
7.2;136;28.45456555;24.19834875
7.0;134;26.09373218;28.93369873
7.3;136;24.19834875;26.76644873
7.7;139;28.93369873;28.96148193
8.0;141;26.76644873;30.51193188
8.0;143;28.96148193;25.82726587
7.9;144;30.51193188;24.58758228
7.9;146;25.82726587;25.1371991
7.6;145;24.58758228;24.11284839
7.3;145;25.1371991;24.69566565
7.0;144;24.11284839;25.65788196
6.9;142;24.69566565;22.65914893
6.9;139;25.65788196;19.98134875
6.8;138;22.65914893;18.50018213
6.8;140;19.98134875;25.97743237
6.9;143;18.50018213;28.27204907
6.9;145;25.97743237;26.73144946
6.7;149;28.27204907;27.34676587
6.4;152;26.73144946;23.62199939
6.2;156;27.34676587;15.43278259
5.8;156;23.62199939;11.18423285
5.3;157;15.43278259;8.205199646
4.9;157;11.18423285;7.85366629
4.7;156;8.205199646;6.137766251
4.6;154;7.85366629;5.259099915
2.8;148;6.137766251;5.32208316
3.3;143;5.259099915;5.2789664919999995
3.9;139;5.32208316;10.05861627
4.4;134;5.2789664919999995;11.69861609
4.9;135;10.05861627;11.07849933
5.5;137;11.69861609;14.11221625
6.0;138;11.07849933;16.22096588
5.7;141;14.11221625;13.36849933
5.3;144;16.22096588;17.83371606
5.0;147;13.36849933;8.917732971
4.9;150;17.83371606;6.080616425
4.7;152;8.917732971;8.156999634
4.4;152;6.080616425;6.319883148
4.5;152;8.156999634;4.96864975
4.6;153;6.319883148;6.235683044
4.7;153;4.96864975;6.029299743999999
4.1;159;6.235683044;5.661483092999999
3.4;165;6.029299743999999;3.444299881
2.8;171;5.661483092999999;2.901333328
2.4;220;3.444299881;2.795
2.0;270;2.901333328;2.636
1.6;319;2.795;2.636
2.3;10;2.636;2.636
3.0;61;2.636;2.670999996
3.5;61;2.636;3.020699982
4.0;83;2.670999996;4.393433228
4.5;104;3.020699982;7.677132935
5.0;126;4.393433228;8.790199553999999
5.5;127;7.677132935;11.5866994
5.9;129;8.790199553999999;13.12699927
6.4;130;11.5866994;13.71679919
6.3;129;13.12699927;11.5871496
6.2;129;13.71679919;19.79703223
6.1;128;11.5871496;16.75553259
6.1;129;19.79703223;18.8904657
6.0;131;16.75553259;14.64284967
6.0;133;18.8904657;19.20244922
6.2;136;14.64284967;18.08856561
6.3;140;19.20244922;18.08151563
6.5;143;18.08856561;26.68971558
6.3;145;18.08151563;26.03791504
6.1;148;26.68971558;15.95663232
5.9;150;26.03791504;11.81278271
6.2;145;15.95663232;8.278599731
6.5;141;11.81278271;9.198716064
6.8;136;8.278599731;13.32666614
6.7;136;9.198716064;11.72933264
6.6;137;13.32666614;12.25343274
6.5;132;11.72933264;13.59901611
6.3;132;12.25343274;9.130282897999999
6.2;131;13.59901611;8.370132935
6.0;131;9.130282897999999;9.834132935
6.0;133;8.370132935;12.20746613
5.9;136;9.834132935;15.861599300000002
5.9;138;12.20746613;15.45422314
5.7;140;15.861599300000002;19.03414929
5.5;142;15.45422314;10.39813287
5.3;144;19.03414929;9.976949524
5.1;144;10.39813287;11.411316099999999
4.9;145;9.976949524;14.12644958
4.8;141;11.411316099999999;9.312616333
4.8;141;14.12644958;6.218033157000001
4.9;141;9.312616333;5.760483123999999
4.9;141;6.218033157000001;5.263864227
4.9;137;5.760483123999999;
4.8;134;5.263864227;
4.8;130;;7.510199646
4.8;128;;7.429282959
4.7;127;7.510199646;7.2166162410000005
4.7;125;7.429282959;5.790049652
5.2;125;7.2166162410000005;7.8782161870000005
5.6;126;5.790049652;11.25293243
6.1;122;7.8782161870000005;14.73946594
6.7;126;11.25293243;17.4274657
7.3;130;14.73946594;19.10859924
7.9;134;17.4274657;23.89349927
7.8;134;19.10859924;28.97466553
7.6;135;23.89349927;31.22999854
7.5;135;28.97466553;31.89828198
7.5;139;31.22999854;36.29624854
7.4;142;31.89828198;35.5803147
7.4;146;36.29624854;26.64451587
7.4;148;35.5803147;24.89814868
7.4;149;26.64451587;19.8500658
7.3;150;24.89814868;17.34611707
7.0;150;19.8500658;16.7506156
6.6;151;17.34611707;19.14274902
6.3;151;16.7506156;23.0260824
5.8;151;19.14274902;25.882032100000004
5.3;151;23.0260824;17.570998899999996
4.8;151;25.882032100000004;21.4889491
4.6;142;17.570998899999996;15.60631604
4.3;133;21.4889491;12.73364957
4.1;124;15.60631604;4.950533112
4.5;126;12.73364957;5.553749756
4.8;129;4.950533112;5.635416382000001
5.5;133;5.553749756;7.797299682999999
5.8;135;5.635416382000001;12.18469916
6.0;138;7.797299682999999;16.95633228
6.3;140;12.18469916;17.90993286
6.2;141;16.95633228;13.08201624
6.2;141;17.90993286;13.8982995
6.1;142;13.08201624;17.29826611
6.1;141;13.8982995;7.939749634
6.0;140;17.29826611;8.603366211
6.0;139;7.939749634;6.835083191
5.9;140;8.603366211;9.316733032
5.7;141;6.835083191;12.78643304
5.7;141;9.316733032;14.33984906
5.7;140;12.78643304;13.96944934
5.8;138;14.33984906;14.80591595
5.8;137;13.96944934;14.74610602
5.8;137;14.80591595;15.38041602
5.9;137;14.74610602;12.93984961
5.9;137;15.38041602;15.909232300000001
6.1;135;12.93984961;16.34413281
6.2;134;15.909232300000001;17.90043219
6.4;132;16.34413281;12.50819934
6.1;129;17.90043219;15.1164491
5.8;127;12.50819934;20.71596533
4.9;114;15.1164491;27.20504932
5.3;119;20.71596533;15.23281598
5.6;125;27.20504932;13.41769934
6.0;130;15.23281598;19.63586572
6.4;131;13.41769934;18.70524878
6.9;132;19.63586572;32.49296582
7.3;133;18.70524878;25.45299878
7.4;133;32.49296582;19.29828284
7.4;134;25.45299878;9.892827271
7.5;134;19.29828284;17.805631899999998
7.6;134;9.892827271;18.45089917
7.8;135;17.805631899999998;26.90376538
8.2;134;18.45089917;31.97799829
7.8;133;26.90376538;36.26741455
7.4;131;31.97799829;37.14918188
7.0;130;36.26741455;34.04541479
7.1;133;37.14918188;37.08889844
7.3;136;34.04541479;34.30568188
7.4;139;37.08889844;33.50311548
7.8;141;34.30568188;30.62864917
8.3;142;33.50311548;36.10009863
8.7;144;30.62864917;36.0703479
8.2;145;36.10009863;31.69714917
7.8;147;36.0703479;36.69203174
7.5;144;31.69714917;34.69223193
7.4;146;36.69203174;29.05411597
7.2;149;34.69223193;36.09584814
7.1;151;29.05411597;35.22556470000001
7.1;148;36.09584814;35.564798100000004
7.0;145;35.22556470000001;36.78146484
7.0;142;35.564798100000004;31.97943213
7.3;141;36.78146484;28.86738208
7.7;140;31.97943213;30.55673181
8.0;139;28.86738208;32.30439929
7.8;138;30.55673181;33.04284839
7.7;138;32.30439929;32.82613208
7.4;137;33.04284839;36.66259839
7.8;137;32.82613208;29.47866553
8.1;138;36.66259839;33.90461523
8.5;138;29.47866553;34.50649829
8.5;136;33.90461523;31.13706567
8.4;135;34.50649829;34.54784937
8.4;133;31.13706567;35.22023242
8.6;134;34.54784937;35.13524805
8.8;136;35.22023242;36.31121411
9.0;137;35.13524805;36.90359741
9.0;137;36.31121411;36.69948193
9.0;137;36.90359741;33.91559863
9.3;138;36.69948193;35.76461499
9.9;137;33.91559863;36.97118115
10.4;135;35.76461499;36.37029834
11.0;134;36.97118115;35.53498193
11.1;134;36.37029834;29.49853223
11.3;134;35.53498193;35.30243188
11.4;134;29.49853223;37.26336523
11.0;133;35.30243188;37.80396582
10.6;133;37.26336523;36.67569775
10.2;132;37.80396582;37.55099854
10.6;134;36.67569775;38.22679736
11.0;137;37.55099854;38.02416626
11.4;138;38.22679736;37.62264746
11.2;137;38.02416626;36.39898193
11.1;136;37.62264746;37.54006592
10.9;135;36.39898193;37.25326514
10.3;140;37.54006592;35.84039893
9.6;145;37.25326514;37.39953271
9.0;150;35.84039893;38.17356494
9.1;148;37.39953271;38.24931592
9.2;147;38.17356494;38.14781592
9.3;145;38.24931592;37.85753223
8.9;140;38.14781592;34.57873145
8.4;136;37.85753223;33.02891553
8.4;138;34.57873145;36.92401563
8.3;137;33.02891553;35.94584814
8.1;136;36.92401563;36.04729736
8.0;135;35.94584814;37.32056445
8.3;134;36.04729736;30.52371582
8.5;132;37.32056445;35.32278198
8.8;131;30.52371582;36.9875498
9.0;132;35.32278198;34.91189917
9.3;133;36.9875498;36.04823193
9.5;134;34.91189917;37.23888184
9.4;132;36.04823193;35.8365813
9.3;131;37.23888184;36.14299756
9.5;127;35.8365813;36.87449756
9.6;128;36.14299756;38.09623047
9.6;130;36.87449756;38.10319824
9.7;131;38.09623047;37.99243164
10.2;135;38.10319824;36.9687312
10.6;139;37.99243164;37.243714600000004
11.1;143;36.9687312;37.28138062
11.1;141;37.243714600000004;36.95926416
11.0;140;37.28138062;37.34229858
11.0;138;36.95926416;37.96764844
11.0;138;37.34229858;37.51589844
11.0;139;37.96764844;36.66488062
11.7;136;37.51589844;37.69516431
11.6;135;36.66488062;37.56241406
11.5;135;37.69516431;36.99613135
11.4;134;37.56241406;38.34293213
11.7;132;36.99613135;37.59139771
12.0;130;38.34293213;37.50334766
12.3;128;37.59139771;36.23836426
13.0;128;37.50334766;35.89524805
13.7;128;36.23836426;35.74843115
14.4;128;35.89524805;36.59353223
14.0;129;35.74843115;37.83316406
13.6;129;36.59353223;38.1232981
12.9;128;37.83316406;38.67153027
13.0;128;38.1232981;36.65786499
13.0;129;38.67153027;35.97673047
13.1;129;36.65786499;34.00164844
12.6;131;35.97673047;33.04256543
12.2;134;34.00164844;36.75638135
