STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;YVIK-YtreVikna1-Sum-produksjon
6.6;120;16.55426538
7.0;119;11.88638281
7.4;119;17.50526587
7.1;117;19.11409937
6.8;114;20.8375824
6.5;112;25.67091589
7.0;121;27.50723206
7.5;130;29.49358179
7.8;131;29.40924902
7.7;129;31.54168164
7.6;128;29.66198267
7.5;126;20.35068262
7.4;129;23.51438232
7.2;133;26.25539905
7.1;136;27.25928284
6.9;137;23.3967323
6.8;137;25.09848218
6.6;138;22.06159924
6.5;140;22.76018237
6.5;142;27.0187489
7.0;146;21.7080658
6.6;144;18.39269861
6.2;142;15.03386621
5.8;140;16.11538245
5.5;139;10.60146631
5.1;139;7.769816284
4.8;138;11.22106635
4.9;137;14.94178284
4.9;135;8.482166504
5.0;134;10.81788293
5.1;130;8.982032837
5.3;127;11.14088293
4.7;117;10.31116632
5.1;120;10.28891614
5.5;123;11.90238287
5.9;126;9.465449615
5.8;131;9.173499817
5.7;137;12.51284961
5.6;142;10.85984967
5.1;147;11.23994928
4.7;153;10.41798273
4.2;158;10.37689954
4.3;157;6.425433044
4.4;157;5.738466582999999
4.9;139;5.8419331670000005
4.6;148;3.949727127
4.3;158;3.190049881
4.0;167;3.578933228
3.9;185;3.084099899
3.7;202;2.7097332610000002
3.6;220;2.57788327
4.0;230;2.4644832919999997
4.3;240;2.322883301
4.7;250;2.209249954
4.5;241;2.161716675
4.4;232;2.135
4.6;244;2.135
4.2;246;2.135
3.8;248;2.135
3.4;250;2.135
3.1;242;2.135
2.8;233;2.135
2.5;225;2.135
2.4;224;2.135
2.2;224;2.135
2.1;223;2.135
2.0;222;2.135
2.0;220;2.135
1.3;214;2.135
1.6;213;2.135
2.0;213;2.139283325
2.3;212;2.168
2.4;230;2.168
2.6;248;2.168
2.7;266;2.168
2.8;278;2.168
2.8;290;2.168
2.9;302;2.168
2.6;306;2.168
2.4;310;2.168
2.6;343;2.168
2.4;343;2.168
2.1;342;2.168
1.9;342;2.168
2.0;333;2.168
2.0;323;2.168
2.1;314;2.168
2.3;317;2.168
2.4;321;2.168
2.6;324;2.168
2.7;324;2.168
