STORM-YVik1-Vindhast-25km delayed_2;STORM-YVik1-Vindhast-25km delayed_1;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km delayed_2;STORM-YVik1-Vindretn-25km delayed_1;STORM-YVik1-Vindretn-25km;/arome_windvel_6491_1087 delayed_2;/arome_windvel_6491_1087 delayed_1;/arome_windvel_6491_1087;/arome_airtemp_6491_1087 delayed_2;/arome_airtemp_6491_1087 delayed_1;/arome_airtemp_6491_1087;/arome_windvel_6481_1056 delayed_2;/arome_windvel_6481_1056 delayed_1;/arome_windvel_6481_1056;DNMI_75410...........T0015A3-0120;/arome_windvel_6482_1114 delayed_2;/arome_windvel_6482_1114 delayed_1;/arome_windvel_6482_1114;DNMI_75220...........T0015A3-0120;/arome_windvel_6520_1098 delayed_2;/arome_windvel_6520_1098 delayed_1;/arome_windvel_6520_1098;DNMI_75550...........T0015A3-0120;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
5.9;6.1;6.6;236.0;231.0;229;2.029489897;1.9366961130000002;2.337412048;9.41958;9.64932;9.63638;6.853777977000001;7.123546638;7.730918293999999;4.35;2.5910168959999997;2.5362748109999997;3.78579343;3.5;5.989170908999999;6.078531324;6.793224147999999;4.35;17;3.492616562;4.297899857
6.1;6.6;7.0;231.0;229.0;226;1.9366961130000002;2.337412048;2.583997182;9.64932;9.63638;10.4711;7.123546638;7.730918293999999;7.841771378;4.15;2.5362748109999997;3.78579343;3.4877436289999997;4.3;6.078531324;6.793224147999999;7.078187945;4.15;17;4.069766525;5.325749763
6.6;7.0;7.5;229.0;226.0;224;2.337412048;2.583997182;3.0375348;9.63638;10.4711;11.0956;7.730918293999999;7.841771378;7.886648042000001;4.52;3.78579343;3.4877436289999997;5.390768146;3.8;6.793224147999999;7.078187945;8.141823344;4.52;17;4.297899857;10.03964954
7.0;7.5;7.3;226.0;224.0;221;2.583997182;3.0375348;3.945132661;10.4711;11.0956;11.2609;7.841771378;7.886648042000001;6.423860435;4.68;3.4877436289999997;5.390768146;4.6571142089999995;4.5;7.078187945;8.141823344;7.486064602000001;4.68;17;5.325749763;8.82236615
7.5;7.3;7.0;224.0;221.0;218;3.0375348;3.945132661;3.281460778;11.0956;11.2609;11.24746;7.886648042000001;6.423860435;9.837594135;5.0;5.390768146;4.6571142089999995;4.429930998;5.0;8.141823344;7.486064602000001;9.269991337;5.0;17;10.03964954;13.77661591
7.3;7.0;7.4;221.0;218.0;221;3.945132661;3.281460778;4.10309361;11.2609;11.24746;11.24062;6.423860435;9.837594135;6.870173577;5.2;4.6571142089999995;4.429930998;4.378227137;4.6;7.486064602000001;9.269991337;7.958072383999999;5.2;17;8.82236615;6.736199585
7.0;7.4;7.4;218.0;221.0;223;3.281460778;4.10309361;4.471691661;11.24746;11.24062;11.94985;9.837594135;6.870173577;10.7810881;5.33;4.429930998;4.378227137;4.281185635;4.7;9.269991337;7.958072383999999;5.644761043;5.33;17;13.77661591;8.163999573
7.4;7.4;7.5;221.0;223.0;224;4.10309361;4.471691661;5.073260396;11.24062;11.94985;11.59365;6.870173577;10.7810881;8.480779607999999;5.15;4.378227137;4.281185635;5.889320732000001;6.5;7.958072383999999;5.644761043;6.056576327;5.15;17;6.736199585;12.72191602
7.4;7.5;7.5;223.0;224.0;226;4.471691661;5.073260396;4.048453336000001;11.94985;11.59365;12.6183;10.7810881;8.480779607999999;6.965354746;4.96;4.281185635;5.889320732000001;6.246301905;5.6;5.644761043;6.056576327;6.8518409579999995;4.96;17;8.163999573;10.950966000000001
7.5;7.5;7.1;224.0;226.0;227;5.073260396;4.048453336000001;3.670121405;11.59365;12.6183;12.84268;8.480779607999999;6.965354746;6.670067085;5.86;5.889320732000001;6.246301905;5.334155989;6.5;6.056576327;6.8518409579999995;6.826080983;5.86;17;12.72191602;11.25808276
