/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;YVIK-YtreVikna1-Sum-produksjon
13.149070000000002;1003.1719;332.6432325;8.548917632;37.20954688
14.0651;1004.64;344.9703283;11.00451931;36.95666455
13.99453;1004.285;345.0571706;10.5853132;36.3202981
14.10244;1004.7525;350.2147165;10.49420911;37.19818164
14.204;1005.2175;356.1413361;10.36797027;37.32043018
14.204;1005.62375;4.540906628;10.11045608;36.22381519
14.08315;1006.10875;17.0513465;7.658240175;35.35441504
13.8998;1006.7944;15.90309156;5.566138144;35.66434741
13.7975;1007.0431;26.12790984;5.514089994;30.816
13.234520000000002;1007.9525;50.40267449;6.636494953;20.16
13.0082;1008.2894;56.91387914;5.147913073;19.40669934
12.99185;1008.6169;39.37016755;4.446045464;13.95949915
12.97085;1009.17125;19.04675049;4.727360322;10.86003284
13.00088;1009.5881;5.16207927;5.113287953;14.573216
12.93447;1009.66;355.4144528;5.304099014;13.08959949
12.86074;1009.7675;353.02602169999994;5.359671073;11.19086609
12.94888;1009.6275;358.6364492;3.94311027;13.42099963
12.84805;1009.61;351.5613568;3.234559695;18.77903271
12.7621;1009.4481;338.5496827;2.443674029;17.34056604
12.81753;1009.1625;334.4787638;1.167976876;14.74491602
12.82217;1008.51375;352.882095;0.8005498259999999;17.00784937
12.7057;1008.7431;271.59072410000005;1.12699932;23.50284888
12.55874;1008.6044;88.73136444;0.946995169;19.67269922
12.4357;1008.42125;275.5041997;0.431157645;14.679832399999999
12.42227;1008.29;299.9480853;0.547622111;14.36496619
12.6122;1008.6669;20.49282865;0.857257789;14.09547382
12.58804;1008.6244;61.05893452;1.501554557;16.17958527
12.76602;1008.4906;63.55317891;1.8948968290000001;12.24863275
12.5463;1008.59375;61.827912899999994;2.492574984;17.60666602
12.47793;1008.24;42.19080025;1.308669155;16.89276599
12.620999999999999;1008.0706;317.798233;2.71139323;19.55721533
12.64053;1007.97375;307.5467892;3.652061157;15.95973242
12.51553;1007.40375;305.761604;5.22805783;14.82758276
12.3517;1007.31875;317.659177;4.546563328;10.07299963
12.34072;1007.1025;326.56577000000004;1.75422402;8.588516235
12.24575;1006.825;279.2802999;3.037964643;6.039316437
12.403960000000001;1006.5569;75.13087099;2.792610613;7.715916228999999
12.62515;1006.1594;54.02102652;3.943650836;10.93851624
12.7985;1005.9181;38.14055721;4.932882655;14.44451569
13.8815;1005.25375;293.60715560000006;6.5765021589999995;15.41249915
13.762839999999999;1004.8244;294.8909672;7.955284344;10.05909961
13.45156;1004.405;301.225887;8.021779182000001;9.089366058
13.257470000000001;1003.955;305.2772066;7.436343412;10.97781598
12.9435;1004.22125;302.0655847;7.806612884;8.070449554
12.72085;1003.61375;297.7953338;8.526213422;16.5194989
12.44888;1003.205;294.23348070000003;9.37082187;14.66024951
12.28457;1002.7131;294.25050889999994;9.542546633999999;9.892332763999999
12.275780000000001;1002.3894;289.1548813;10.03610178;15.67954919
12.268460000000001;1001.9375;284.9602575;10.91859238;17.10738281
12.18472;1001.75375;280.8319727;11.29171984;17.24523267
12.173;1001.2994;280.61662;11.83884293;17.15378223
12.11978;1000.795;281.3480815;12.02215968;19.62963245
12.2504;1000.475;283.71084039999994;11.817239599999999;23.17146545
12.45156;1000.06;282.0109849;11.28097832;25.76313232
12.642000000000001;999.65;277.92217739999995;11.60666684;20.70038245
12.84365;999.73;278.35003969999997;12.56084226;21.85339856
13.02505;999.4606;277.5919889;12.29615784;24.47563196
13.151760000000001;998.9281;275.24532880000004;11.899133;23.82548254
13.12856;998.8331;275.5279084;12.23523023;21.81186597
13.1149;998.69875;278.237794;12.57015975;20.19319897
13.0087;998.6694;278.97105639999995;12.53913018;25.44888196
13.10098;998.4225;279.1370234;12.52668305;29.86903162
12.893460000000001;998.25125;281.55524239999994;13.36530873;26.95658228
12.5978;998.0169;286.27407200000005;13.44510264;25.54041614
12.35317;997.6956;289.284729;13.33016793;11.24338287
12.12612;997.6731;291.16003639999997;13.25489137;13.20179938
11.97354;997.54875;293.5575374;13.10789468;18.22671558
11.9086;997.21125;294.07360489999996;12.93720035;11.04893274
11.84805;997.0231;292.08590110000006;12.7334538;14.64913287
11.792869999999999;996.96375;290.50980669999996;13.1327155;16.48899884
11.82852;996.77375;291.3064866;13.35398133;12.42876624
11.9181;996.62625;291.2584589;13.83010123;6.869966338999999
12.01113;996.5281;287.187297;13.59575019;10.43551624
12.3776;996.78125;282.3236965;12.39706479;10.41313284
12.36245;996.575;280.1585628;12.76150068;9.686949402
12.42715;996.5244;283.6250888;12.60328744;17.21353241
12.51626;996.3219;284.8372021;12.60428148;21.52249878
12.69766;996.2025;287.40304489999994;12.10103575;21.10103259
12.99893;996.1775;286.1343603;11.03739444;22.66588245
13.15518;995.95625;285.03851339999994;10.06970909;23.73124854
13.3837;995.8369;293.2774843;8.711595655;25.36751575
13.5519;995.7281;290.5879179;8.417638776;28.98489917
13.648829999999998;995.2831;295.7322517;9.523336921;26.87606567
13.506979999999999;995.0575;306.1641829;10.45371375;30.35706494
13.3063;994.90375;307.9566972;10.89685145;27.76741565
13.153220000000001;994.65125;304.85423310000004;10.96912416;25.59816614
12.767000000000001;994.4781;300.4206273;11.54106718;22.09023267
13.06484;994.1844;305.0625607;11.03319018;30.09934888
13.1022;993.9581;308.68226880000003;10.58105882;34.56348218
13.08608;993.6375;311.08587539999996;10.82687637;34.06106445
13.09658;993.1825;315.7237082;10.98301165;31.88058203
13.0768;992.95875;319.64512080000003;10.72413543;29.03421606
13.05337;993.0419;320.67151789999997;9.759824813;18.81026575
12.95547;992.5744;319.45075319999995;10.21533963;28.17748254
12.90908;992.345;321.21520089999996;9.730106388;29.12596484
12.85854;991.94;321.14676000000003;8.786441123;15.68049927
12.80557;991.4825;317.2167746;8.648624213;8.945199829
12.9191;991.375;313.81194930000004;7.74988189;11.10398303
12.8522;991.0894;310.4501305;7.730606158;5.734016479
12.8185;990.8075;309.7490517;7.03334983;8.217033142
12.8273;990.4775;312.3374908;6.21324684;6.481716492
12.8185;989.97125;313.0130618;5.259265911;4.2478498689999995
12.86636;989.63125;319.11039339999996;3.770130436;3.2314665369999998
12.8798;989.365;304.3735204;3.381625138;2.5238666530000002
12.9125;989.1544;319.73870919999996;2.148875871;2.2430000000000003
12.89736;989.10375;353.666623;1.144893543;2.375
12.8649;988.885;48.48891615;0.943450806;2.375
12.78213;988.74375;75.35974326;1.3745706;2.375
12.70376;988.7556;64.5374256;1.141215481;2.40025
12.59097;988.72625;76.48124411;3.6702790739999998;2.456300003
12.5541;988.6344;308.60521689999996;1.154547527;2.300633316
12.52383;989.07875;81.17270877;2.7302760310000003;2.416800003
12.46987;989.3406;74.2631077;1.045331124;2.552366669
12.4269;989.3669;18.89959224;1.357228985;2.583983322
12.41348;989.30125;331.81618639999994;1.385627239;2.630099991
12.40273;989.36125;357.2736622;1.159030589;2.61431665
12.37515;989.175;336.3875941;0.995875202;2.437233337
12.341460000000001;988.8244;276.5643241;1.6369830319999998;2.406599945
12.39053;988.93;270.0776606;3.4089081310000005;3.818983246
12.472560000000001;988.815;88.48860202;5.027399044;5.162833206
12.5629;988.5806;83.89903856;6.293703122999999;7.228949828999999
12.62832;988.8806;87.43372797;7.705680325;7.926899627999999
12.64712;988.1325;89.46967418;8.539153782;8.39896637
12.6896;988.00875;285.81259960000006;8.679175544;8.806249572999999
12.82925;987.8756;292.01205699999997;8.604439161;11.14613281
13.0922;987.7856;288.57243389999996;7.765191528;16.55426538
13.35024;987.2994;280.4164078;7.735314025;11.88638281
13.490620000000002;987.6494;278.5468033;7.905927471;17.50526587
13.899070000000002;987.63625;281.8147563;8.186684458;19.11409937
14.0724;987.1081;279.6773784;7.968873141;20.8375824
14.234520000000002;986.87375;287.86899;8.075272175;25.67091589
14.67275;987.0306;316.84731560000006;7.022184296;27.50723206
14.55044;987.3681;342.1939867;7.413314762000001;29.49358179
14.46914;987.395;344.7603894;7.680307695;29.40924902
13.930570000000001;987.725;339.4433509;8.355374486;31.54168164
13.726220000000001;987.5444;316.3085379;8.493628889;29.66198267
13.720120000000001;987.5175;306.6363008;8.747935565;20.35068262
13.7267;987.3;311.2438053999999;8.385811432;23.51438232
13.663;987.0525;321.57645049999996;7.670093881000001;26.25539905
13.8173;986.60125;329.4085485;6.943604491;27.25928284
13.615620000000002;986.3081;335.9646315;6.1317627560000005;23.3967323
13.34707;986.1719;350.2130521;4.823705895;25.09848218
13.16055;986.1244;9.507470477;3.835114247;22.06159924
12.97402;986.28125;36.08215139;3.38186735;22.76018237
12.88735;986.52625;29.19936932;2.243252409;27.0187489
12.900780000000001;987.13125;5.902792141;2.7056951189999996;21.7080658
12.92935;987.2031;16.2180685;2.741601845;18.39269861
12.869530000000001;986.6325;5.708597193999999;1.950319405;15.03386621
13.038;986.9994;342.8714525;3.240847272;16.11538245
13.082180000000001;987.3444;325.53488960000004;3.68685437;10.60146631
13.05386;987.3069;318.2217705;2.81333771;7.769816284
13.04873;987.0275;299.72479639999995;2.807098061;11.22106635
13.153960000000001;986.86125;306.3693245;3.4573331069999997;14.94178284
13.1984;986.66;305.9167018;3.107671845;8.482166504
13.22476;986.6306;303.7569023;2.5153166540000003;10.81788293
13.3329;986.6631;300.86538160000003;3.1273017010000004;8.982032837
13.48867;986.50125;300.1431352;3.597269339;11.14088293
13.405420000000001;986.6019;270.043505;2.900057636;10.31116632
13.524070000000002;986.555;272.6867035;2.903281546;10.28891614
13.56826;986.6181;270.7465035;2.91850351;11.90238287
13.6498;986.56125;273.3732459;2.8311075430000003;9.465449615
13.6276;986.3131;282.8564298;3.361459705;9.173499817
13.5668;986.0875;304.87426560000006;3.044304237;12.51284961
13.82705;986.09375;297.95845110000005;2.9716147860000004;10.85984967
13.595120000000001;985.8375;287.36733910000004;1.8067130969999998;11.23994928
13.40884;985.70375;72.80961946;1.140604175;10.41798273
13.2433;985.77375;298.30971830000004;0.976996367;10.37689954
13.0309;985.4894;297.4450918;2.382451985;6.425433044
12.5431;985.4494;76.10498954;8.331466904;5.738466582999999
12.60122;985.8156;276.16886519999997;9.616410785;5.8419331670000005
12.49868;985.80125;287.8084403;8.423039413;3.949727127
12.4247;985.7956;289.9529435;8.300152589;3.190049881
12.40933;986.3606;292.5118149;7.439654191;3.578933228
12.36074;986.7625;296.05995210000003;7.12851476;3.084099899
12.23965;987.22125;290.2203394;6.316368877;2.7097332610000002
12.26455;987.2994;291.70250150000004;6.988364223;2.57788327
12.24575;987.6406;274.41119960000003;5.641072341;2.4644832919999997
12.09243;987.4469;278.75535310000004;5.879640426;2.322883301
12.051169999999999;987.64125;278.49165939999995;6.283575517;2.209249954
11.98013;987.85375;277.35994510000006;6.405174188999999;2.161716675
11.9557;987.9619;275.7401813;6.184836797000001;2.135
12.208639999999999;989.1006;78.05382781;3.819241743;2.135
12.235;989.30875;76.92265604;2.91333977;2.135
12.2853;989.4975;271.9454213;2.59095568;2.135
12.23306;989.6831;292.18024039999995;2.472465373;2.135
12.08657;989.9681;329.1237815;2.288171471;2.135
11.99648;990.15;306.0803253;1.85705155;2.135
12.35928;989.98875;34.87998585;1.270153058;2.135
12.38223;990.1419;350.18740519999994;0.842417582;2.135
12.39443;990.2656;354.06593599999997;0.905928794;2.135
12.31265;990.4056;26.59440464;1.736516711;2.135
12.2897;990.3969;42.82334272;0.459128373;2.135
12.292869999999999;990.47;28.42239014;1.5018096719999998;2.135
12.27236;990.7894;47.49842905;1.0952461279999999;2.135
12.29824;991.08125;276.54485919999996;0.414674517;2.135
12.31484;991.485;324.5821548;0.480879516;2.139283325
12.38223;992.3244;43.24460606;0.085590851;2.168
12.43643;992.8531;323.44662989999995;0.645839625;2.168
12.468160000000001;993.1825;305.1422245;1.4913097869999998;2.168
12.52163;993.4719;325.4472719;2.887298875;2.168
12.47622;993.5275;329.1917574;3.0800819969999997;2.168
12.4694;993.7444;333.38982660000005;2.547458675;2.168
12.59023;993.9544;347.7077153;3.4225317000000004;2.168
12.53726;994.47875;332.0706279;4.070636616;2.168
12.42178;994.6825;326.92990430000003;4.123551474;2.168
12.2985;995.4875;349.57509960000004;5.239441858;2.168
12.27334;996.0831;7.358490501;4.480642624;2.168
12.27407;996.14125;356.8716974;2.7952420719999997;2.168
12.19326;996.67;349.35688260000006;3.275635945;2.168
12.192039999999999;997.00375;345.5554938;2.9448641639999997;2.168
12.09292;997.35;328.1526613;4.075263849;2.168
12.10977;997.4219;343.1681863;5.798652875;2.168
12.1852;997.8131;356.7527716;5.631081197;2.168
12.19106;997.7994;0.581906687;5.566536086;2.168
12.05483;998.2925;349.674642;7.36839623;2.168
12.07437;998.4494;356.85881969999997;7.341953961000001;2.168
12.14565;998.7;355.1378441;7.1803364610000004;2.168
12.21377;999.5444;357.14574780000004;6.297730746;2.168
12.19326;999.4981;345.22201160000003;4.7637220010000005;2.168
12.22158;999.805;333.4468435;5.977897552000001;2.168
12.29653;1000.3325;328.7895019;5.493925525;2.324716614
12.43276;1000.8294;349.9304485;7.292576634;4.607349731
12.20474;1001.4106;346.784969;7.763584463;6.836932922000001
12.0187;1001.81875;350.1532869;8.305901905;6.7048331910000005
12.00576;1002.215;347.80354750000004;8.104302398;7.457132812999999
12.010639999999999;1002.3244;348.1965148;8.047392229;12.74656604
12.057030000000001;1002.3081;346.35213789999995;7.346531947000001;13.09416644
11.96304;1002.7069;346.91995069999996;8.38558339;10.31011603
11.86807;1003.04;346.9607327;8.523291381;8.086499664
11.32583;1004.06375;355.164501;6.550733216;9.831566223
11.6835;1004.41125;5.196502812;8.446436456;11.0540329
11.49868;1004.7206;358.8545165;7.33672469;19.5855658
11.32925;1005.265;14.1211761;8.363848521;20.63503198
11.55386;1005.7625;20.71759075;8.964576155;19.68601526
11.4181;1006.13375;20.70064924;9.83914067;22.68174902
11.6061;1006.6831;15.30961821;10.21090632;25.07671594
11.45352;1006.9225;14.23523191;9.941792458;24.0594823
11.3776;1007.6175;14.62655964;9.84532204;22.92679895
11.228660000000001;1008.1019;10.33760109;9.926074149;24.23303259
10.82925;1008.4375;10.46152423;9.39373548;22.58158203
10.92324;1008.835;8.362453747;9.902048064;20.73711572
10.90884;1009.62125;9.602813332;9.810315641;23.384282100000004
10.99575;1010.51625;7.193136877000001;9.865883392;21.54413232
10.8561;1011.0706;5.156727058;9.339599418999999;21.08448218
