VALS-Valsneset..-GS1-5-T4015A3 -0104;STORM-Vals-Vindhast-25km;STORM-Vals-Vindretn-25km;Target
1.7694578769999998;7.1;233;2.4300858969999997
2.9049967530000003;7.2;234;2.7072608469999997
2.4300858969999997;7.4;236;6.427739739
2.7072608469999997;7.0;241;7.271787763
6.427739739;6.6;247;6.736706734
7.271787763;6.2;252;3.809586763
6.736706734;5.9;252;2.833982885
3.809586763;5.7;251;3.538667738
2.833982885;5.4;251;2.7928359210000004
3.538667738;5.3;248;3.473106861
2.7928359210000004;5.1;246;1.090612978
3.473106861;6.5;243;1.4003849030000002
1.090612978;6.2;239;1.080141008
1.4003849030000002;5.9;236;1.179472923
1.080141008;5.6;232;0.394727975
1.179472923;5.3;201;0.218246985
0.394727975;5.1;170;0.633050993
0.218246985;4.8;139;2.802441895
0.633050993;4.8;155;3.5122087
2.802441895;4.8;171;4.683934569
3.5122087;4.8;187;2.004435897
4.683934569;5.6;198;0.070641994
2.004435897;6.5;209;0.742979974
0.070641994;5.5;205;0.6656459570000001
0.742979974;6.5;216;3.380467772
0.6656459570000001;7.5;227;7.464628458
3.380467772;8.5;238;5.654892683
7.464628458;8.3;246;3.980242014
5.654892683;8.2;253;1.909749985
3.980242014;8.0;261;6.356291532999999
1.909749985;8.0;260;5.744494915
6.356291532999999;8.1;258;7.068845748999999
5.744494915;8.1;257;6.5158578160000005
7.068845748999999;7.7;248;4.622216702
6.5158578160000005;7.2;238;4.944257617
4.622216702;8.3;238;6.417143822000001
4.944257617;8.2;243;6.106566667999999
6.417143822000001;8.1;247;4.501629829
6.106566667999999;8.0;252;2.298219919
4.501629829;7.9;255;1.8112248780000002
2.298219919;7.8;258;3.987617016
1.8112248780000002;7.7;261;5.458953857000001
3.987617016;7.8;262;2.7231237889999997
5.458953857000001;7.8;264;1.277133971
2.7231237889999997;7.9;265;1.86352396
1.277133971;7.7;266;1.303715914
1.86352396;7.5;268;3.0261418819999997
1.303715914;7.0;273;3.687140942
3.0261418819999997;6.8;282;3.5498218539999997
3.687140942;6.6;291;4.292679787
3.5498218539999997;6.4;300;4.514084935
4.292679787;6.5;298;4.824290513999999
4.514084935;6.5;297;5.971913815
4.824290513999999;6.6;295;6.460025907
5.971913815;6.7;294;4.812269807
6.460025907;6.7;294;3.6920359130000002
4.812269807;6.8;293;4.259649873
3.6920359130000002;6.8;292;4.539306045
4.259649873;6.9;291;3.432642817
4.539306045;6.9;285;2.346553862
3.432642817;6.4;286;2.644799829
2.346553862;5.9;287;1.316419929
2.644799829;5.4;288;0.7428559809999999
1.316419929;5.1;288;1.0290809570000001
0.7428559809999999;4.9;288;0.284427967
1.0290809570000001;4.6;288;0.150578987
0.284427967;4.4;290;0.17257699699999998
0.150578987;4.2;291;0.46493598799999997
0.17257699699999998;4.0;293;0.25654199
0.46493598799999997;3.8;295;0.25654199
0.25654199;3.7;296;0.326811992
0.25654199;3.2;316;0.357174993
0.326811992;3.0;320;0.388529986
0.357174993;2.9;325;0.313736983
0.388529986;2.7;329;0.271413982
0.313736983;3.0;339;0.271413982
0.271413982;3.4;349;0.271413982
0.271413982;3.7;359;0.305805981
0.271413982;4.2;5;0.655545995
0.305805981;4.8;11;0.496723965
0.655545995;5.3;17;0.7594629820000001
0.496723965;5.4;24;1.02430895
0.7594629820000001;5.5;31;0.9464169440000001
1.02430895;6.0;36;2.199568927
0.9464169440000001;5.6;41;1.477532923
2.199568927;5.3;47;1.091541976
1.477532923;4.9;52;1.01402092
1.091541976;4.7;61;0.607582986
1.01402092;4.6;69;0.450744979
0.607582986;4.4;78;0.658208981
0.450744979;4.5;74;0.66031599
0.658208981;4.6;69;0.627907969
0.66031599;4.7;65;0.682500973
0.627907969;4.5;61;0.671717957
0.682500973;4.4;58;0.653128996
0.671717957;4.4;53;0.796766967
0.653128996;4.5;43;0.63943395
0.796766967;4.7;33;0.6347869629999999
0.63943395;4.8;23;0.930367947
0.6347869629999999;5.3;22;3.5576928260000003
0.930367947;5.9;20;6.392666817
3.5576928260000003;6.4;19;6.084631681
6.392666817;6.7;21;6.054513453999999
6.084631681;6.9;22;4.83941102
6.054513453999999;7.2;24;4.657661796
4.83941102;6.8;28;4.273841858
4.657661796;6.5;32;1.338417977
4.273841858;6.3;34;1.499220908
1.338417977;6.0;43;1.947796941
1.499220908;5.6;53;1.733517975
1.947796941;5.3;62;2.5695708390000003
1.733517975;5.4;72;2.9766309260000003
2.5695708390000003;5.5;83;3.335478783
2.9766309260000003;5.6;93;0.9518079909999999
3.335478783;5.6;96;0.248362992
0.9518079909999999;5.5;99;0.46883995799999995
0.248362992;5.5;102;0.379421994
0.46883995799999995;5.3;102;0.5978539589999999
0.379421994;5.0;102;0.46710397299999995
0.5978539589999999;4.5;101;0.787286997
0.46710397299999995;4.0;108;0.881413937
0.787286997;3.6;116;1.160511941
