BESS-Bessakerfj.-G1-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G2-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G3-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G3.AVL;BESS-Bessakerfj.-G4-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G4.AVL;BESS-Bessakerfj.-G5-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G5.AVL;BESS-Bessakerfj.-G6-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G6.AVL;BESS-Bessakerfj.-G7-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G7.AVL;BESS-Bessakerfj.-G8-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G9-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G10T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G11T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G12T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G13T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G14T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G15T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G16T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G17T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G18T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G19T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G20T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G21T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G22T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G23T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G24T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G25T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-GS-T4015A3 -0104;DNMI_69100...........T0015A3-0120;/arome_windvel_6347_1092;DNMI_71550...........T0015A3-0120;/arome_windvel_6372_0961;DNMI_71850...........T0015A3-0120;/arome_windvel_6413_0933;DNMI_71990...........T0015A3-0120;/arome_windvel_6440_1047;DNMI_72580...........T0015A3-0120;/arome_windvel_6447_1156;STORM-Bess-Vindretn-25km;STORM-Bess-Vindhast-25km;/arome_windvel_6422_1040;/arome_airtemp_6422_1040;/arome_windvel_6421_1035;/arome_airtemp_6421_1035;BESS-Bessakerfj.-GS-T4015A3 -0104;Target
0.399950012;1;0.527900024;1;0.363533325;1;0.43361663799999994;1;0.45870001200000005;1;0.462450012;1;0.510116638;1;0.0;1;0.521133301;1;0.424983337;1;0.0;1;0.0;1;0.0;1;0.379966675;1;0.496666626;1;0.350683289;1;0.36086663799999996;1;0.299633301;1;0.29438330100000004;1;0.432349976;1;0.17013333100000003;1;0.533099976;1;0.449533325;1;0.46536663799999994;1;0.49064996299999997;1;8.825716339;8.5;4.062753009;6.8;4.51710254;8.2;6.758531856;6.466666667;6.041578151;3.9;2.5939673869999997;314;5.8;3.677157268;8.06118;3.621436241;8.880519999999999;8.825716339;15.09893622
0.582466675;1;0.586949951;1;0.46720001200000005;1;0.641549927;1;0.491883301;1;0.463533325;1;0.546266602;1;0.0;1;0.596449951;1;0.54481665;1;0.0;1;0.0;1;0.0;1;0.40311663799999997;1;0.566383301;1;0.514216675;1;0.35745001200000004;1;0.338883301;1;0.37863330100000003;1;0.45561663799999996;1;0.23511666899999997;1;0.540533325;1;0.481766663;1;0.47409997600000003;1;0.5168332520000001;1;10.18376614;9.9;2.7476301480000003;6.4;4.133223321;7.6;7.511306427;5.983333332999999;5.796398458;4.0;2.540123764;317;6.0;3.7583261869999998;7.920560000000001;3.777597145;8.7609;10.18376614;12.8624328
0.9894034420000001;1;0.856446411;1;0.549052612;1;0.8175535890000001;1;0.5856428220000001;1;0.846910645;1;0.8628928220000001;1;0.0;1;0.9685;1;0.829625;1;0.0;1;0.0;1;0.0;1;0.465087708;1;0.811964233;1;0.6095;1;0.7313214109999999;1;0.351946411;1;0.387660706;1;0.777125;1;0.34616070600000004;1;0.873392822;1;0.686910645;1;0.919339233;1;0.8325;1;15.09893622;8.9;2.777878855;5.6;4.0989163060000005;8.0;5.494935532;6.033333333;5.94970183;2.9;2.379108501;319;6.3;4.297843857;7.90835;4.349759284;8.89175;15.09893622;11.12051617
0.750033325;1;0.8789832759999999;1;0.569783325;1;0.784466675;1;0.566400024;1;0.670833252;1;0.55693335;1;0.0;1;0.736833252;1;0.64025;1;0.0;1;0.0;1;0.0;1;0.47431665;1;0.658233276;1;0.620349976;1;0.282433289;1;0.396366638;1;0.41916662600000004;1;0.450783325;1;0.266549988;1;0.745483276;1;0.772166626;1;0.805633301;1;0.81643335;1;12.8624328;8.3;2.432446949;6.4;4.233356216000001;7.5;6.871082205;5.975;5.4485295439999994;3.0;2.04754106;322;6.5;4.239034376;7.488180000000001;4.369203433;8.4911;12.8624328;10.51606613
0.7552332759999999;1;0.705633301;1;0.45181665;1;0.683900024;1;0.5843332520000001;1;0.650383301;1;0.57618335;1;0.0;1;0.7076500240000001;1;0.617666626;1;0.0;1;0.0;1;0.0;1;0.416483337;1;0.6776666259999999;1;0.28266662600000003;1;0.394366638;1;0.165516663;1;0.194399994;1;0.525216675;1;0.224199982;1;0.632633301;1;0.5182666020000001;1;0.7143833009999999;1;0.641916626;1;11.12051617;8.6;2.076542171;5.4;4.3997015269999995;8.0;7.000498338;6.058333332999999;5.768021387999999;3.5;2.727100613;319;6.5;3.7969679210000002;7.60415;3.8781009739999996;8.6061;11.12051617;13.81698279
0.73275;1;0.56931665;1;0.51918335;1;0.593766602;1;0.567283325;1;0.605766602;1;0.593333252;1;0.0;1;0.7721999509999999;1;0.64993335;1;0.0;1;0.0;1;0.0;1;0.46714996299999995;1;0.592983276;1;0.443950012;1;0.41931665;1;0.19810000600000002;1;0.188549988;1;0.430616638;1;0.323183289;1;0.412399963;1;0.393633301;1;0.570783325;1;0.47186663799999995;1;10.51606613;7.3;4.105101043;5.5;5.099719653;5.8;7.496171205;5.891666667000001;6.4357723810000005;4.4;2.6632531580000003;316;6.6;3.912245907;7.736000000000001;4.044338545;8.74478;10.51606613;10.90059955
0.83381665;1;0.819033325;1;0.553449951;1;0.837783325;1;0.508416626;1;0.725966675;1;0.70875;1;0.0;1;0.7805166020000001;1;0.635699951;1;0.0;1;0.0;1;0.0;1;0.39839996299999997;1;0.794900024;1;0.60875;1;0.47873333700000004;1;0.459099976;1;0.40326666299999997;1;0.580083252;1;0.36308331299999996;1;0.84681665;1;0.772516602;1;0.905583252;1;0.80231665;1;13.81698279;8.8;2.516588746;5.1;4.294570073;7.1;7.047004147000001;5.941666667000001;6.263318096;5.5;2.280313806;313;6.6;4.060597012;7.81216;4.089717086;8.80435;13.81698279;5.587899719
0.56393335;1;0.569400024;1;0.490833313;1;0.54631665;1;0.47181665;1;0.487616638;1;0.492433289;1;0.0;1;0.732833252;1;0.582166626;1;0.0;1;0.0;1;0.0;1;0.440516663;1;0.614533325;1;0.625016602;1;0.446716675;1;0.28376666300000003;1;0.30406665;1;0.43573333700000005;1;0.3335;1;0.483833313;1;0.5091666260000001;1;0.758783325;1;0.727616577;1;10.90059955;8.9;3.2124482889999997;5.7;4.050253041;6.9;6.661043562000001;6.175;6.36493383;5.2;2.227171903;313;6.7;4.007546227;7.94302;3.930006267;8.92935;10.90059955;12.39739923
0.298483337;1;0.311183289;1;0.29456665;1;0.271183289;1;0.24225;1;0.25329998800000003;1;0.22316665600000002;1;0.0;1;0.289483337;1;0.25301666300000003;1;0.0;1;0.0;1;0.0;1;0.256716675;1;0.327083313;1;0.242600006;1;0.169433319;1;0.191949982;1;0.199583313;1;0.27006665;1;0.184533325;1;0.32391662600000004;1;0.326583313;1;0.330799988;1;0.32799999999999996;1;5.587899719;6.9;2.332478277;6.1;2.8411958439999996;8.3;6.176274059;6.533333333;6.076958768;6.1;2.315614922;312;6.9;4.079019227;7.974019999999999;3.9065234560000004;8.7626;5.587899719;8.779116364
0.643233276;1;0.747799927;1;0.5226500239999999;1;0.600449951;1;0.497466675;1;0.582866577;1;0.617616577;1;0.0;1;0.747283325;1;0.675766602;1;0.0;1;0.0;1;0.0;1;0.463099976;1;0.750383301;1;0.676016602;1;0.295766663;1;0.39375;1;0.427166626;1;0.48945001200000005;1;0.344333313;1;0.781733276;1;0.7137999270000001;1;0.747966675;1;0.678799927;1;12.39739923;8.5;2.611103006;6.3;2.348100556;6.8;5.831748882;6.441666667000001;5.616693092999999;4.2;2.359389844;310;6.0;3.3901647510000004;7.9694;3.25583817;8.661769999999999;12.39739923;10.44074963
