ExcelDato;/SKOM-SfjHydVindhMid-T0016A3 -0120;/STORM-Bess-Vindhast-25km;/STORM-Vals-Vindhast-25km
41482.5833;3.5600;2.5000;3.8000
41482.6250;3.0100;2.2000;3.4000
41482.6667;2.4600;2.0000;3.1000
41482.7083;1.2300;1.7000;2.7000
41482.7500;2.1500;1.5000;2.3000
41482.7917;1.3400;1.4000;2.0000
41482.8333;2.1100;1.4000;1.9000
41482.8750;1.8200;1.3000;1.5000
41482.9167;2.9300;1.3000;1.1000
41482.9583;2.5300;1.2000;0.7000
41483.0000;2.3000;1.1000;0.6000
41483.0417;1.7700;1.1000;0.4000
41483.0833;2.5500;1.0000;0.3000
41483.1250;2.8000;1.0000;0.6000
41483.1667;1.9500;0.9000;0.9000
41483.2083;2.3300;0.9000;1.2000
41483.2500;2.3800;0.8000;1.2000
41483.2917;0.9600;0.8000;1.2000
