STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;/arome_airtemp_6491_1087;/arome_airpress_6491_1087;okning_1_time_frem;okning_2_time_frem;okning_3_time_frem;Target
6.3;323;10.7521;1005.0775;-0.20000000000000018;-0.2999999999999998;-0.40000000000000036;22.35821545
6.5;322;9.51528;1005.0731;-0.09999999999999964;-0.20000000000000018;-0.20000000000000018;14.28089966
6.6;321;9.48428;1005.4119;-0.10000000000000053;-0.10000000000000053;-0.20000000000000018;13.2925661
6.7;321;9.8744;1005.44125;0.0;-0.09999999999999964;0.0;9.180199677000001
6.7;322;10.07656;1005.3581;-0.09999999999999964;0.0;0.10000000000000053;5.6743331910000006
6.8;322;9.73892;1005.69;0.09999999999999964;0.20000000000000018;0.2999999999999998;5.930599731
6.7;316;10.07705;1006.30625;0.10000000000000053;0.20000000000000018;0.7000000000000002;10.05501642
6.6;310;10.5192;1006.5044;0.09999999999999964;0.5999999999999996;1.1999999999999993;6.659799682999999
6.5;304;11.0209;1006.6869;0.5;1.0999999999999996;1.4000000000000004;6.91296637
6.0;300;11.38857;1006.79125;0.5999999999999996;0.9000000000000004;1.2000000000000002;8.249932831
5.4;295;10.46353;1007.0756;0.3000000000000007;0.6000000000000005;0.9000000000000004;6.9999663089999995
5.1;299;10.4396;1006.80375;0.2999999999999998;0.5999999999999996;0.8999999999999995;8.603449646
4.8;294;10.388819999999999;1007.33375;0.2999999999999998;0.5999999999999996;0.5;9.543433014
4.5;290;10.47964;1007.12625;0.2999999999999998;0.20000000000000018;0.0;5.828299744
4.2;285;10.46914;1007.295;-0.09999999999999964;-0.2999999999999998;-0.39999999999999947;5.008266556000001
4.3;283;10.4247;1007.34875;-0.20000000000000018;-0.2999999999999998;-0.5;6.52099971
4.5;281;10.44497;1007.3431;-0.09999999999999964;-0.2999999999999998;-0.5;4.726283112
4.6;279;10.68496;1007.8225;-0.20000000000000018;-0.40000000000000036;-0.6000000000000005;2.5884499130000003
4.8;267;10.56973;1007.9881;-0.20000000000000018;-0.40000000000000036;-0.7000000000000002;4.240033081
5.0;256;10.69277;1007.9144;-0.20000000000000018;-0.5;-0.7000000000000002;5.800916472999999
5.2;244;11.083639999999999;1007.9556;-0.2999999999999998;-0.5;-1.3999999999999995;5.590083068999999
5.5;241;11.40957;1007.785;-0.20000000000000018;-1.0999999999999996;-0.7999999999999998;4.850249725
5.7;238;11.87197;1007.8619;-0.8999999999999995;-0.5999999999999996;-0.20000000000000018;5.3689165039999995
6.6;242;12.18862;1008.1375;0.2999999999999998;0.6999999999999993;1.0;6.2024998170000005
6.3;235;12.6669;1008.07375;0.39999999999999947;0.7000000000000002;1.0;4.092933167
5.9;229;13.17593;1008.5606;0.3000000000000007;0.6000000000000005;0.9000000000000004;4.091499817
5.6;222;14.279929999999998;1008.91875;0.2999999999999998;0.5999999999999996;0.8999999999999995;3.8770665280000003
5.3;219;14.98257;1009.14875;0.2999999999999998;0.5999999999999996;0.5;3.038166595
5.0;216;15.99722;1008.75375;0.2999999999999998;0.20000000000000018;0.09999999999999964;6.066983124
4.7;213;16.4191;1008.67875;-0.09999999999999964;-0.20000000000000018;-0.2999999999999998;6.631983124
4.8;213;16.45425;1008.5481;-0.10000000000000053;-0.20000000000000018;1.0;3.353416443
4.9;212;16.471829999999997;1008.5575;-0.09999999999999964;1.1000000000000005;2.3000000000000003;1.610333298
5.0;212;16.40566;1008.5706;1.2000000000000002;2.4;1.9;1.135633324
3.8;191;16.29678;1008.14;1.1999999999999997;0.6999999999999997;-0.20000000000000018;1.376999962
2.6;169;16.1459;1007.3944;-0.5;-1.4;-2.3000000000000003;5.468199707
3.1;122;16.38516;1006.6894;-0.8999999999999999;-1.8000000000000003;-2.6999999999999997;11.67974939
4.0;118;16.049220000000002;1005.4119;-0.9000000000000004;-1.7999999999999998;-2.7;18.62476587
4.9;114;15.42495;1004.1756;-0.8999999999999995;-1.7999999999999998;-2.8;21.28406567
5.8;110;14.515039999999999;1002.675;-0.9000000000000004;-1.9000000000000004;-2.8;29.11131519
6.7;121;14.694;1000.86875;-1.0;-1.8999999999999995;-0.7000000000000002;29.69719922
7.7;132;16.26016;999.2019;-0.8999999999999995;0.2999999999999998;1.4000000000000004;21.55924963
8.6;143;16.83315;998.47;1.1999999999999993;2.3;3.5;11.85728302
7.4;159;16.73135;997.52875;1.1000000000000005;2.3000000000000007;1.0;13.96496619
6.3;176;16.1774;997.7181;1.2000000000000002;-0.10000000000000053;-1.4000000000000004;16.4034823
5.1;192;13.799220000000002;997.945;-1.3000000000000007;-2.6000000000000005;-3.5;23.32768274
6.4;197;13.19155;997.6625;-1.2999999999999998;-2.1999999999999993;-2.0;20.50771552
7.7;202;13.64468;997.645;-0.8999999999999995;-0.7000000000000002;-0.4999999999999991;16.41323218
8.6;224;12.48672;998.31;0.1999999999999993;0.40000000000000036;0.5999999999999996;17.07349939
8.4;229;12.4501;999.23125;0.20000000000000107;0.40000000000000036;0.9000000000000004;17.24134863
8.2;235;12.81338;1000.0775;0.1999999999999993;0.6999999999999993;1.0999999999999996;15.14008264
8.0;240;13.313620000000002;1000.84375;0.5;0.9000000000000004;1.4000000000000004;17.42124951
7.5;237;14.507229999999998;1001.4206;0.40000000000000036;0.9000000000000004;1.0;14.49423242
7.1;233;12.54604;1001.9831;0.5;0.5999999999999996;0.5999999999999996;11.59068292
6.6;230;12.7311;1002.115;0.09999999999999964;0.09999999999999964;0.1999999999999993;11.029133
6.5;231;14.40298;1001.9981;0.0;0.09999999999999964;0.40000000000000036;8.123549622
